관리번호,시도명,시군구명,쓰레기통종류,설치주소,상세위치,관리기관,관리기관전화번호
169,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-522,한강대교북단(노들섬방면) 중앙버스정류장(외곽 03-002),용산구청 청소행정과,02-2199-7304
170,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 357-3,신용산역(KT용산지사방면) 중앙버스정류장(도심 03-003),용산구청 청소행정과,02-2199-7304
171,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 352-4,신용산역(한강대교북단방면) 중앙버스정류장(외곽 03-004),용산구청 청소행정과,02-2199-7304
172,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 352-4,신용산역(한강대교북단방면) 중앙버스정류장(외곽 03-004) ,용산구청 청소행정과,02-2199-7304
173,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 268-2,삼각지(숙대입구방면) 중앙버스정류장(도심 03-007),용산구청 청소행정과,02-2199-7304
174,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 42,삼각지(KT용산지사방면) 중앙버스정류장(외곽 03-008),용산구청 청소행정과,02-2199-7304
175,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 42,삼각지(KT용산지사방면) 중앙버스정류장(외곽 03-008),용산구청 청소행정과,02-2199-7304
176,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 42,삼각지(KT용산지사방면) 중앙버스정류장(외곽 03-008),용산구청 청소행정과,02-2199-7304
177,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 97-1,숙명여대(갈월동방면) 중앙버스정류장(도심 03-009),용산구청 청소행정과,02-2199-7304
178,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 87-25,숙명여대(삼각지역방면) 중앙버스정류장(외곽 03-010),용산구청 청소행정과,02-2199-7304
179,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동자동 14-3,갈월동(서울역버스환승센터방면) 중앙버스정류장 (도심 03-011),용산구청 청소행정과,02-2199-7304
180,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동자동 43-212,갈월동(숙대입구방면) 중앙버스정류장 (외곽 03-012),용산구청 청소행정과,02-2199-7304
181,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 48-1,이태원2동 용산한신아파트 앞(해방촌방면) 버스정류장(03-150),용산구청 청소행정과,02-2199-7304
182,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 48-1,이태원2동 용산한신아파트 앞(해방촌방면) 버스정류장(03-150) ,용산구청 청소행정과,02-2199-7304
183,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 120-2 ,삼각지(보훈청방향)평양집 앞 공원쉼터 ,용산구청 청소행정과,02-2199-7304
184,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 120-2 ,삼각지(보훈청방향)평양집 앞 공원쉼터 ,용산구청 청소행정과,02-2199-7304
185,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동3가 1-96,국방부 앞 버스정류장(삼각지어린이공원)(03-185) ,용산구청 청소행정과,02-2199-7304
186,서울특별시,용산구,재활용쓰레기,서울특별시 용산구 용산동3가 1-96,국방부 앞 버스정류장(삼각지어린이공원)(03-185) ,용산구청 청소행정과,02-2199-7304
187,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동1가 8-65,전쟁기념관(용산보건분소방면) 버스정류장(03-184),용산구청 청소행정과,02-2199-7304
188,서울특별시,용산구,재활용쓰레기,서울특별시 용산구 용산동1가 8-65,전쟁기념관(용산보건분소방면) 버스정류장(03-184) ,용산구청 청소행정과,02-2199-7304
189,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 6-6,녹사평역 1번출구 앞 버스정류장(03-186) ,용산구청 청소행정과,02-2199-7304
190,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동2가 6-6,녹사평역 1번출구 앞 버스정류장(03-186) ,용산구청 청소행정과,02-2199-7304
191,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 4,녹사평역 4번출구 앞 버스정류장(03-187) ,용산구청 청소행정과,02-2199-7304
192,서울특별시,용산구,재활용쓰레기,서울특별시 용산구 용산동4가 4,녹사평역 4번출구 앞 버스정류장(03-187) ,용산구청 청소행정과,02-2199-7304
193,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-999,용산역 버스정류장(03-255)(용산역 앞 광장) ,용산구청 청소행정과,02-2199-7304
194,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-999,용산역 버스정류장(03-255)(용산역 앞 광장),용산구청 청소행정과,02-2199-7304
195,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 423-5,용산역광장 앞(신용산지하차도방면) 버스정류장(03-258),용산구청 청소행정과,02-2199-7304
196,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로1가 14-29,삼각지역11번출구 버스정류장(03-328남영역방면)(용산역파출소옆),용산구청 청소행정과,02-2199-7304
197,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 235-115,서빙고역 교차로 버스정류장(03-267 서빙고역건너편),용산구청 청소행정과,02-2199-7304
198,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 235-75,서빙고역 1번출구 버스정류장(03-157 서빙고역 앞),용산구청 청소행정과,02-2199-7304
199,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 235-1,서빙고초등학교 앞 버스정류장(03-268 GS편의점) ,용산구청 청소행정과,02-2199-7304
200,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로4가 113-54 ,원효대교 북단 버스정류장(03-331 삼구빌딩 건너편) ,용산구청 청소행정과,02-2199-7304
201,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 24-1,숙대입구역 5번출구 마을버스정류장(03-565 하나은행숙대입구역지점 앞),용산구청 청소행정과,02-2199-7304
202,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 14-58,갈월동 마을버스정류장(03-568 삼성디지털 서비스센터 옆),용산구청 청소행정과,02-2199-7304
203,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 69-109,갈월동 4호선 숙대입구 버스정류장(03-327 여행박사 앞),용산구청 청소행정과,02-2199-7304
204,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 90-5,남영역 횡단보도 앞 ,용산구청 청소행정과,02-2199-7304
205,서울특별시,용산구,일반쓰레기,서울특별시 용산구 신창동 56-68,신창제일교회(리버힐삼성아파트 GS편의점 횡단보도) 앞,용산구청 청소행정과,02-2199-7304
206,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 96-1,용산전자상가입구 버스정류장(03-250),용산구청 청소행정과,02-2199-7304
207,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 23-3,용산 꿈나무 종합타운 보건분소 버스정류장(03-181),용산구청 청소행정과,02-2199-7304
208,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 533-2,한남나들목(A) 출입구 앞 ,용산구청 청소행정과,02-2199-7304
209,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 557-58,한남나들목(B) 출입구 앞,용산구청 청소행정과,02-2199-7304
210,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 131-1,한강대로 크라운해태 건너편 USO건너편인도,용산구청 청소행정과,02-2199-7304
211,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 131-1,한강대로 크라운해태 건너편 USO건너편인도,용산구청 청소행정과,02-2199-7304
212,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 63-1,한강대로 숙대입구역 2번출구 앞 ,용산구청 청소행정과,02-2199-7304
213,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 63-1,한강대로 숙대입구역 2번출구 앞 ,용산구청 청소행정과,02-2199-7304
214,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 71-37 ,한강대로 갈월동 청파동 입구교차로(쌍굴다리)안 공원(갑을빌딩 맞은편),용산구청 청소행정과,02-2199-7304
215,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 71-37 ,한강대로 갈월동 청파동 입구교차로(쌍굴다리)안 공원(갑을빌딩 맞은편),용산구청 청소행정과,02-2199-7304
216,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 92-12,남영삼거리 동원부동산 앞 횡단보도(고려빌딩 건너편),용산구청 청소행정과,02-2199-7304
217,서울특별시,용산구,일반쓰레기,서울특별시 용산구 갈월동 92-12,남영삼거리 동원부동산 앞 횡단보도(고려빌딩 건너편),용산구청 청소행정과,02-2199-7304
218,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 181-2,신용산역 삼거리 횡단보도 앞(신용산역 5번출구 뒷편) ,용산구청 청소행정과,02-2199-7304
219,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 181-2,신용산역 삼거리 횡단보도 앞(신용산역 5번출구 뒷편),용산구청 청소행정과,02-2199-7304
220,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 30-134,용산역 앞 교차로 아우디한강대로전시장 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
221,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 30-134,용산역 앞 교차로 아우디한강대로전시장 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
222,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 727-35,서울시중부기술교육원 블루스퀘어(순천향대학병원 한남오거리방면)(03161),용산구청 청소행정과,02-2199-7304
223,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 727-35,서울시중부기술교육원 블루스퀘어(순천향대학병원 한남오거리방면)(03161),용산구청 청소행정과,02-2199-7304
224,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 10-2 ,한강중학교(금호베스트빌 앞 방면)버스정류장(03-269),용산구청 청소행정과,02-2199-7304
225,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동빙고동 170-1 ,동빙고동(한남역 용산노인종합복지관방면)버스정류장(03-274),용산구청 청소행정과,02-2199-7304
226,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 666,이태원동남산대림아파트 용산동아파트(114공인중개사사무소 앞) 버스정류장(03-149),용산구청 청소행정과,02-2199-7304
227,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로3가 51-54,용산전자상가 전자랜드(원효대교북단방면)버스정류장(03-137),용산구청 청소행정과,02-2199-7304
228,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로4가 141,원효2동산호아파트(청암동강변삼성아파트방면)버스정류장(03-300),용산구청 청소행정과,02-2199-7304
229,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용문동 5-222 ,백범로 효창공원역4번출구 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
230,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 112-10,BMW 한독모터스용산전시장 횡단보도 앞,용산구청 청소행정과,02-2199-7304
231,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 18-3,"숙대입구역 3, 4번 출구 앞(군선도가게 앞) ",용산구청 청소행정과,02-2199-7304
232,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 271-106,서빙고신동아아파트/신동아아파트버스정류장(03226) ,용산구청 청소행정과,02-2199-7304
233,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 102-1 ,KT용산지사(삼각지방면)중앙버스정류장(도심 03-005),용산구청 청소행정과,02-2199-7304
234,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 102-1 ,KT용산지사(삼각지방면)중앙버스정류장(도심 03-005),용산구청 청소행정과,02-2199-7304
235,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 102-1 ,KT용산지사(신용산역방면)중앙버스정류장(외곽 03-006) ,용산구청 청소행정과,02-2199-7304
236,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 102-1 ,KT용산지사(신용산역방면)중앙버스정류장(외곽 03-006),용산구청 청소행정과,02-2199-7304
237,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 420-3 ,용산푸르지오써밋오피스텔 앞 인도 ,용산구청 청소행정과,02-2199-7304
238,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 420 ,용산푸르지오써밋오피스텔 앞 인도 ,용산구청 청소행정과,02-2199-7304
239,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 16-26,용산전자상가 전자랜드(용산전자상가12동방면)버스정류장(03136) ,용산구청 청소행정과,02-2199-7304
240,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 3-44,신용산지하차도(용산전자상가입구방면)버스정류장(03251),용산구청 청소행정과,02-2199-7304
241,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로1가 133-3,용산꿈나무종합타운(용산경찰서방면),용산구청 청소행정과,02-2199-7304
242,서울특별시,용산구,일반쓰레기,서울특별시 용산구 문배동 8-3,문배동이안아파트 앞(문배어린이공원방면)버스정류장(03332) ,용산구청 청소행정과,02-2199-7304
243,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 126-22,금양초등학교 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
244,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 5-36,국민은행효창동지점(숙명여대정문방면)버스정류장(03240),용산구청 청소행정과,02-2199-7304
245,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 134-5 ,숙명여대후문 이봉창활동터(효창공원후문방면)버스정류장(03235),용산구청 청소행정과,02-2199-7304
246,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 217-12 ,서부역건너편 미니스톱서울역점 횡단보도 앞,용산구청 청소행정과,02-2199-7304
247,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동5가 19-1 ,용산세무서(용산공고방면) 버스정류장((03262) ,용산구청 청소행정과,02-2199-7304
248,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 65-503,기능장애인협회용산지부 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
249,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 199-5,GS25용산서빙고점(서빙고초등학교) 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
250,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 10-4 ,녹사평역3번출구 200M전방(용산구청방향) 횡단보도 ,용산구청 청소행정과,02-2199-7304
251,서울특별시,용산구,일반쓰레기,서울특별시 용산구 용산동4가 19-2 ,미군부대정문 앞 횡단보도(한강중학교방면) ,용산구청 청소행정과,02-2199-7304
252,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 4-137 ,금호베스트빌 앞(서빙고초등학교방면)버스정류장(03270) ,용산구청 청소행정과,02-2199-7304
253,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로3가 40-17,KY빌딩 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
254,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 736-11,이태원랜드 앞 횡단보도 ,용산구청 청소행정과,02-2199-7304
255,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 736-8,한남동 대성표구사 앞,용산구청 청소행정과,02-2199-7304
256,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 739-16,한남동주민센터 버스정류장(03194),용산구청 청소행정과,02-2199-7304
257,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 737-4,제일기획건너편(이태원 천상) ,용산구청 청소행정과,02-2199-7304
258,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 175-9 ,남영동주민센터(남영우체국방면)버스정류장(03206) ,용산구청 청소행정과,02-2199-7304
259,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 212-22,성촌공원 포르쉐센터용산(이촌2동쥔센터방면)버스정류장(03-289),용산구청 청소행정과,02-2199-7304
260,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 300-301,강촌아파트 신용산초등학교(이촌동점보아파트방면)버스정류장(03-220),용산구청 청소행정과,02-2199-7304
261,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동자동 44-6,한국철도공사(코레일서울본부) 앞 모범택시정류장 ,용산구청 청소행정과,02-2199-7304
262,서울특별시,용산구,일반쓰레기,서울특별시 용산구 동자동 43-19,서울통역학원 앞 횡단보도,용산구청 청소행정과,02-2199-7304
263,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 124-5,이태원 지샥 패션잡화점 횡단보도 앞,용산구청 청소행정과,02-2199-7304
264,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서빙고동 235-11 ,서빙고초등학교 담벽 가로등주변(남영비비안 본사 건너편),용산구청 청소행정과,02-2199-7304
265,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한강로2가 420-3 ,용산푸르지오써밋오피스텔 정문 앞 인도,용산구청 청소행정과,02-2199-7304
266,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 3-292,숙명여대 도서관 앞 버스정류장(03-231),용산구청 청소행정과,02-2199-7304
267,서울특별시,용산구,재활용쓰레기,서울특별시 용산구 용산동2가 7-116,해방촌입구 버스정류장(03-151),용산구청 청소행정과,02-2199-7304
268,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 128-9,이태원역 4번출구 버스정류장(03-191),용산구청 청소행정과,02-2199-7304
269,서울특별시,용산구,일반쓰레기,서울특별시 용산구 보광동 217-23,보광동주민센터 버스정류장(03-278),용산구청 청소행정과,02-2199-7304
270,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 262-1,청산빌딩 앞 버스정류장(03-212),용산구청 청소행정과,02-2199-7304
271,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 522-1,독서당로 한남주차장 앞 버스정류장(03-286),용산구청 청소행정과,02-2199-7304
272,서울특별시,용산구,일반쓰레기,서울특별시 용산구 한남동 726-465,한남대로 오일뱅크 버스정류장(03-158),용산구청 청소행정과,02-2199-7304
273,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이촌동 301-10,신용산초등학교 버스정류장(03-219),용산구청 청소행정과,02-2199-7304
274,서울특별시,용산구,일반쓰레기,서울특별시 용산구 원효로2가 27-3,남정초등학교 앞 버스정류장(03-143),용산구청 청소행정과,02-2199-7304
275,서울특별시,용산구,일반쓰레기,서울특별시 용산구 후암동 262-3,후암동 종점 버스정류장(03-204),용산구청 청소행정과,02-2199-7304
276,서울특별시,용산구,일반쓰레기,서울특별시 용산구 남영동 3-4,남영동우체국 앞 버스정류장(03-208),용산구청 청소행정과,02-2199-7304
277,서울특별시,용산구,일반쓰레기,서울특별시 용산구 서계동 267-14,만리동고개 버스정류장(03-227),용산구청 청소행정과,02-2199-7304
278,서울특별시,용산구,일반쓰레기,서울특별시 용산구 효창동 251-3,효창공원역 앞 1번출구,용산구청 청소행정과,02-2199-7304
279,서울특별시,용산구,일반쓰레기,서울특별시 용산구 청파동2가 64-18,청파순복음교회 앞 버스정류장(03-232),용산구청 청소행정과,02-2199-7304
280,서울특별시,용산구,일반쓰레기,서울특별시 용산구 문배동 11-25,한국SGI 용산문화회관 앞,용산구청 청소행정과,02-2199-7304
281,서울특별시,용산구,일반쓰레기,서울특별시 용산구 이태원동 22-44,보광로삼거리 세븐일레븐 이태원청화점 앞,용산구청 청소행정과,02-2199-7304
